record_id,dataset_type,aoi_id,aoi_name,corridor_id,corridor_name,period_start,period_end,scene_date,tile_id,weather_severity_score,eccc_temperature_mean_c,eccc_temperature_max_c,eccc_temperature_min_c,eccc_precip_total_mm,eccc_wind_gust_max_kmh,eccc_weather_stress_score,worldcover_tree_pct,worldcover_shrub_grass_pct,worldcover_built_pct,worldcover_bare_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,cloud_filtered_pct,vegetation_exposure_score,vegetation_dryness_score,vegetation_change_score,canopy_exposure_score,public_outage_count,public_customers_affected,public_outage_history_score,tree_related_outage_count_proxy,weather_related_outage_count_proxy,terrain_access_score,transmission_buffer_width_m,area_hectares,intervention_type,intervention_applied,intervention_cost_level,intervention_lead_time_days,intervention_description,risk_score,risk_level,target_outage_impact_proxy,target_customer_impact_proxy,data_status,data_source_notes,synthetic_true_effect_pct,observed_outage_impact_proxy,post_intervention_outage_impact_proxy
SYN-CORR-005__2026-09-24__T10UDV__no_action,synthetic,SYN-CORR-005,Synthetic corridor 005,SYN-CORR-005,Synthetic demo corridor 005,2026-09-01,2026-09-28,2026-09-24,T10UDV,51.98,5.03,5.73,2.93,76.45,66.29,31.19,14.28,19.88,74.57,9.66,0.2607,0.1176,0.0788,0.09,55.52,26.21,35.3,2.14,17.85,783,51588,2.49,248,289,83.98,200,2603.2,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",37.55,Low,29.97,19371.29,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,29.97,29.97
SYN-CORR-041__2026-08-22__T10UEV__vegetation_patrol,synthetic,SYN-CORR-041,Synthetic corridor 041,SYN-CORR-041,Synthetic demo corridor 041,2026-08-01,2026-08-28,2026-08-22,T10UEV,48.19,16.11,20.45,13.84,69.42,60.6,28.91,13.19,39.84,67.21,2.48,0.2128,0.145,-0.029,0.0619,42.59,39.05,31.87,7.44,16.49,138,20395,37.42,58,57,43.01,200,973.8,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,42.78,Medium,41.96,8724.98,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,6.26,41.96,39.33
SYN-CORR-045__2026-01-14__T10UEV__vegetation_trimming,synthetic,SYN-CORR-045,Synthetic corridor 045,SYN-CORR-045,Synthetic demo corridor 045,2026-01-01,2026-01-28,2026-01-14,T10UEV,18.09,0.38,3.34,-3.02,22.78,16.55,10.85,15.96,15.52,66.85,3.94,0.1507,0.3986,-0.0046,0.0257,5.54,26.27,0.18,19.86,19.95,1014,58819,2.11,88,373,19.24,200,4330.1,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,17.46,Low,15.07,10269.8,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,10.62,15.07,13.47
SYN-CORR-044__2026-07-02__T10UDV__crew_pre_staging,synthetic,SYN-CORR-044,Synthetic corridor 044,SYN-CORR-044,Synthetic demo corridor 044,2026-07-01,2026-07-28,2026-07-02,T10UDV,33.32,-1.44,2.78,-5.95,41.9,37.36,19.99,22.76,28.56,23.7,9.8,0.3414,-0.168,0.1406,0.0669,92.48,47.42,71.0,18.28,28.45,948,61494,5.2,298,305,76.68,200,4005.5,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,36.26,Low,29.58,22297.72,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,10.66,29.58,26.43
SYN-CORR-037__2026-02-24__T10UEV__asset_inspection,synthetic,SYN-CORR-037,Synthetic corridor 037,SYN-CORR-037,Synthetic demo corridor 037,2026-02-01,2026-02-28,2026-02-24,T10UEV,15.87,11.73,13.63,8.3,11.18,26.65,9.52,43.57,23.14,69.32,2.97,0.3196,0.2157,0.1847,0.0875,36.75,47.57,23.04,13.92,54.46,2550,252767,23.26,467,1089,43.35,200,1977.6,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,29.61,Low,27.97,74844.31,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,10.06,27.97,25.16
SYN-CORR-025__2026-06-15__T10UEV__no_action,synthetic,SYN-CORR-025,Synthetic corridor 025,SYN-CORR-025,Synthetic demo corridor 025,2026-06-01,2026-06-28,2026-06-15,T10UEV,42.39,19.32,22.95,18.9,16.19,73.49,25.43,53.94,26.64,65.33,9.36,0.493,-0.0127,-0.0588,0.0938,61.44,57.0,51.59,48.6,67.42,4250,273124,13.21,360,1702,78.86,200,3171.6,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",44.58,Medium,38.16,121758.68,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,38.16,38.16
SYN-CORR-023__2026-10-28__T10UEV__vegetation_patrol,synthetic,SYN-CORR-023,Synthetic corridor 023,SYN-CORR-023,Synthetic demo corridor 023,2026-10-01,2026-10-28,2026-10-28,T10UEV,21.67,15.04,18.04,10.38,45.2,17.13,13.0,75.95,29.5,24.0,1.2,0.1165,0.2005,-0.0649,-0.0368,76.39,81.17,24.94,26.7,94.94,4604,570081,52.26,1840,1124,47.28,200,2383.7,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,48.2,Medium,48.85,274779.04,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,9.64,48.85,44.14
SYN-CORR-033__2026-12-22__T10UDV__vegetation_trimming,synthetic,SYN-CORR-033,Synthetic corridor 033,SYN-CORR-033,Synthetic demo corridor 033,2026-12-01,2026-12-28,2026-12-22,T10UDV,22.48,0.17,2.93,-4.51,12.61,31.44,13.49,30.02,38.13,72.38,7.8,0.2394,0.0367,0.0438,0.0065,38.33,47.46,45.41,2.12,37.52,3372,537675,43.79,1099,1664,84.89,200,3729.9,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,40.48,Medium,38.75,217650.84,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,15.37,38.75,32.79
SYN-CORR-043__2026-12-12__T10UDV__crew_pre_staging,synthetic,SYN-CORR-043,Synthetic corridor 043,SYN-CORR-043,Synthetic demo corridor 043,2026-12-01,2026-12-28,2026-12-12,T10UDV,16.6,23.89,27.8,23.34,36.35,1.23,9.96,68.79,6.1,52.78,9.97,0.4618,0.246,0.1638,-0.0074,44.23,56.59,19.25,42.36,85.99,109,20467,45.85,16,42,33.63,200,978.9,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,36.15,Low,37.73,7398.82,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,7.32,37.73,34.97
SYN-CORR-042__2026-08-28__T10UDV__asset_inspection,synthetic,SYN-CORR-042,Synthetic corridor 042,SYN-CORR-042,Synthetic demo corridor 042,2026-08-01,2026-08-28,2026-08-28,T10UDV,26.12,1.94,2.2,-1.09,62.14,14.3,15.67,53.76,44.85,11.78,8.01,0.0703,-0.0435,-0.0284,0.0774,3.62,79.08,55.44,35.94,67.2,3345,169974,65.63,409,95,82.85,200,4104.3,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,55.58,Medium,55.73,94471.55,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,18.0,55.73,45.7
SYN-CORR-049__2026-12-04__T10UEV__no_action,synthetic,SYN-CORR-049,Synthetic corridor 049,SYN-CORR-049,Synthetic demo corridor 049,2026-12-01,2026-12-28,2026-12-04,T10UEV,41.55,17.05,20.6,12.15,59.62,50.45,24.93,57.36,2.01,67.85,6.12,0.1912,-0.1188,-0.0836,0.0424,73.46,43.82,64.85,11.76,71.7,312,28272,15.52,30,0,78.09,200,4478.7,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",40.68,Medium,35.04,11501.05,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,35.04,35.04
SYN-CORR-003__2026-06-20__T10UDV__vegetation_patrol,synthetic,SYN-CORR-003,Synthetic corridor 003,SYN-CORR-003,Synthetic demo corridor 003,2026-06-01,2026-06-28,2026-06-20,T10UDV,45.58,0.08,3.33,-4.62,45.79,63.64,27.35,11.88,49.0,18.76,1.48,0.371,0.3097,0.0525,0.0106,57.8,53.93,11.29,24.2,14.85,906,140400,30.13,414,215,85.68,200,1036.5,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,49.0,Medium,44.34,68796.0,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,7.78,44.34,40.89
SYN-CORR-049__2026-02-27__T10UDV__vegetation_trimming,synthetic,SYN-CORR-049,Synthetic corridor 049,SYN-CORR-049,Synthetic demo corridor 049,2026-02-01,2026-02-28,2026-02-27,T10UDV,25.88,15.59,18.45,12.76,17.41,40.88,15.53,27.85,30.55,37.09,7.02,0.4942,0.0677,0.0944,0.0479,41.84,48.98,41.54,48.84,34.81,2412,202219,3.61,572,744,35.36,200,4043.4,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,29.3,Low,25.15,59250.17,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,15.12,25.15,21.35
SYN-CORR-016__2026-05-16__T10UDV__crew_pre_staging,synthetic,SYN-CORR-016,Synthetic corridor 016,SYN-CORR-016,Synthetic demo corridor 016,2026-05-01,2026-05-28,2026-05-16,T10UDV,53.89,13.21,13.79,12.85,40.29,92.11,32.33,51.95,25.64,32.05,8.42,0.5657,0.3762,-0.0833,-0.0079,83.74,62.16,2.98,63.14,64.94,2185,271205,31.45,617,365,73.99,200,1278.5,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,53.89,Medium,49.52,146152.37,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,14.78,49.52,42.2
SYN-CORR-037__2026-04-02__T10UEV__asset_inspection,synthetic,SYN-CORR-037,Synthetic corridor 037,SYN-CORR-037,Synthetic demo corridor 037,2026-04-01,2026-04-28,2026-04-02,T10UEV,31.04,7.77,11.3,5.83,9.57,60.08,18.62,6.1,42.83,67.04,6.41,0.3106,-0.1002,-0.0968,-0.0186,77.21,36.45,62.52,12.12,7.62,2151,329425,99.55,334,814,86.67,200,1236.9,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,51.93,Medium,57.34,171070.4,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,18.0,57.34,47.02
SYN-CORR-027__2026-09-05__T10UDV__no_action,synthetic,SYN-CORR-027,Synthetic corridor 027,SYN-CORR-027,Synthetic demo corridor 027,2026-09-01,2026-09-28,2026-09-05,T10UDV,34.5,-2.2,-1.3,-6.74,31.41,44.82,20.7,79.18,41.95,46.7,0.45,0.7432,-0.108,-0.0301,-0.0062,46.93,85.88,63.5,98.64,98.98,4189,304125,43.38,407,1026,70.43,200,3139.0,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",55.28,Medium,52.74,168120.3,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,52.74,52.74
SYN-CORR-037__2026-06-01__T10UDV__vegetation_patrol,synthetic,SYN-CORR-037,Synthetic corridor 037,SYN-CORR-037,Synthetic demo corridor 037,2026-06-01,2026-06-28,2026-06-01,T10UDV,37.21,7.83,12.09,5.31,4.65,76.29,22.33,23.28,31.88,68.27,9.1,0.5044,0.2356,0.0761,0.0775,84.45,40.36,20.55,50.88,29.1,1688,279017,33.85,407,324,53.16,200,2744.7,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,39.08,Low,37.59,109039.84,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,10.45,37.59,33.66
SYN-CORR-018__2026-11-15__T10UEV__vegetation_trimming,synthetic,SYN-CORR-018,Synthetic corridor 018,SYN-CORR-018,Synthetic demo corridor 018,2026-11-01,2026-11-28,2026-11-15,T10UEV,18.01,27.46,28.85,23.94,1.99,19.16,10.81,34.89,31.54,73.8,6.34,0.1743,0.0203,0.1945,0.0431,59.85,46.25,47.46,15.14,43.61,569,29074,30.75,250,136,45.86,200,3926.4,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,31.81,Low,30.95,9248.44,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,16.17,30.95,25.95
SYN-CORR-033__2026-11-15__T10UEV__crew_pre_staging,synthetic,SYN-CORR-033,Synthetic corridor 033,SYN-CORR-033,Synthetic demo corridor 033,2026-11-01,2026-11-28,2026-11-15,T10UEV,35.18,17.89,19.62,17.27,44.25,44.01,21.11,77.24,43.34,63.65,0.41,0.1299,0.2761,0.1332,0.0235,28.82,81.93,15.49,24.02,96.55,4116,668840,98.46,1510,1801,87.59,200,2592.4,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,67.1,Medium,70.78,448791.64,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,11.04,70.78,62.97
SYN-CORR-050__2026-04-28__T10UDV__asset_inspection,synthetic,SYN-CORR-050,Synthetic corridor 050,SYN-CORR-050,Synthetic demo corridor 050,2026-04-01,2026-04-28,2026-04-28,T10UDV,39.42,8.04,11.91,3.71,2.96,82.26,23.65,64.53,27.77,11.36,7.39,0.6114,0.4011,0.1403,-0.0427,67.53,75.65,0.0,72.28,80.66,2087,327635,10.93,947,244,13.9,200,3298.5,asset_inspection,1,low,7,Synthetic scenario: targeted asset / structure inspection along the corridor.,42.04,Medium,38.78,137737.75,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'asset_inspection' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,5.54,38.78,36.63
SYN-CORR-012__2026-11-13__T10UDV__no_action,synthetic,SYN-CORR-012,Synthetic corridor 012,SYN-CORR-012,Synthetic demo corridor 012,2026-11-01,2026-11-28,2026-11-13,T10UDV,42.96,24.85,26.22,20.42,19.01,67.16,25.78,43.6,1.48,55.8,1.88,0.3309,0.3822,-0.0746,0.0013,29.89,37.44,2.23,16.18,54.5,3562,390185,85.33,1051,801,37.84,200,4133.4,no_action,0,none,0,"Baseline scenario with no planned vegetation patrol, trimming, staging, or inspection.",49.27,Medium,55.25,192244.15,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'no_action' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,0.0,55.25,55.25
SYN-CORR-036__2026-07-28__T10UEV__vegetation_patrol,synthetic,SYN-CORR-036,Synthetic corridor 036,SYN-CORR-036,Synthetic demo corridor 036,2026-07-01,2026-07-28,2026-07-28,T10UEV,43.65,27.04,28.05,26.95,31.39,59.52,26.19,35.6,28.74,15.26,4.53,0.7483,0.2556,0.0904,0.0015,36.54,57.33,18.05,99.66,44.5,1516,91074,13.44,341,319,49.75,200,4816.4,vegetation_patrol,1,low,3,Synthetic scenario: scheduled vegetation patrol along the corridor before a weather window.,42.32,Medium,37.62,38542.52,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_patrol' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,5.65,37.62,35.49
SYN-CORR-049__2026-10-15__T10UEV__vegetation_trimming,synthetic,SYN-CORR-049,Synthetic corridor 049,SYN-CORR-049,Synthetic demo corridor 049,2026-10-01,2026-10-28,2026-10-15,T10UEV,41.96,15.68,20.05,14.26,59.39,52.95,25.18,26.34,11.75,72.27,5.61,0.2777,0.3909,0.1376,0.0676,24.14,29.35,1.14,5.54,32.92,1533,112394,29.94,247,486,62.28,200,2643.2,vegetation_trimming,1,medium,14,Synthetic scenario: vegetation trimming / clearance work along the transmission corridor.,37.8,Low,35.4,42484.93,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'vegetation_trimming' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,12.87,35.4,30.84
SYN-CORR-022__2026-12-28__T10UEV__crew_pre_staging,synthetic,SYN-CORR-022,Synthetic corridor 022,SYN-CORR-022,Synthetic demo corridor 022,2026-12-01,2026-12-28,2026-12-28,T10UEV,26.95,28.44,28.96,28.23,52.23,10.19,16.17,66.1,39.38,72.69,2.46,0.1796,0.1654,-0.0803,0.0183,3.58,70.69,29.33,14.08,82.62,3389,657351,43.3,447,874,51.02,200,1906.6,crew_pre_staging,1,medium,1,Synthetic scenario: pre-staging crews and materials near the corridor ahead of severe weather.,45.75,Medium,45.12,300738.08,demo_synthetic;derived_proxy,Synthetic research dataset for Causal AI workflow testing only. Intervention 'crew_pre_staging' has transparent synthetic_true_effect_pct based on documented moderator rules - not observed treatment outcomes.,9.39,45.12,40.88
