corridor_id,segment_id,region,length_km,centroid_lat,centroid_lon,worldcover_tree_pct,worldcover_shrub_grass_pct,worldcover_built_pct,worldcover_bare_pct,sentinel2_ndvi_mean,sentinel2_ndmi_mean,sentinel2_ndvi_change,sentinel2_ndmi_change,vegetation_exposure_score,vegetation_dryness_score,vegetation_change_score,canopy_exposure_score,vegetation_score,vegetation_data_status,wildfire_exposure_score,wildfire_data_status,nearest_fire_km,eccc_weather_stress_score,weather_data_status,wind_gust_max_kmh,treatment_gap_score,treatment_data_status,outage_history_proxy_score,outage_data_status,terrain_score,terrain_data_status,planning_priority_score,planning_priority_level,top_reason_1,top_reason_2,top_reason_3,data_source_notes,as_of_date,tree_contact_exposure_proxy,wind_stress_score,wind_data_status,tree_contact_score_data_quality,tree_contact_missing_components,problem_type,recommended_planning_action,risk_pathway,explanation_short,current_priority_score,scenario_after_inspection_score,scenario_after_trimming_score,scenario_after_trimming_and_inspection_score,scenario_priority_reduction
SR-TX-2907,SR-TX-2907-S001,Surrey,0.169,49.061488,-123.043733,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,56.48,synthetic_proxy,,21.37,computed,16.9,63.37,synthetic,50.0,unofficial_archive_proxy,60.97,derived_proxy,46.18,Medium,Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.4,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,46.18,43.8,40.38,37.97,8.21
SR-TX-2906,SR-TX-2906-S001,Surrey,0.169,49.061487,-123.043641,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,47.48,synthetic_proxy,,21.37,computed,16.9,50.44,synthetic,50.0,unofficial_archive_proxy,73.13,derived_proxy,43.66,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.28,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,43.66,41.77,38.63,36.62,7.04
SR-TX-1981,SR-TX-1981-S001,Surrey,3.317,49.075819,-123.042872,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,50.64,synthetic_proxy,,21.37,computed,16.9,78.25,synthetic,50.0,unofficial_archive_proxy,68.86,derived_proxy,48.03,Medium,Treatment gap (synthetic — BC Hydro records would replace),Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,46.81,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.03,45.1,41.34,38.49,9.54
SR-TX-3678,SR-TX-3678-S001,Surrey,3.38,49.075962,-123.043188,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,67.54,synthetic_proxy,,21.37,computed,16.9,49.14,synthetic,50.0,unofficial_archive_proxy,46.03,derived_proxy,44.76,Medium,Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,39.02,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,44.76,42.92,39.81,37.84,6.92
SR-TX-3108,SR-TX-3108-S001,Surrey,4.111,49.07546,-123.044917,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,53.48,synthetic_proxy,,21.37,computed,16.9,71.1,synthetic,50.0,unofficial_archive_proxy,65.02,derived_proxy,47.14,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.17,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.14,44.48,40.88,38.24,8.9
SR-TX-1792,SR-TX-1792-S001,Surrey,4.056,49.075342,-123.045068,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,50.64,synthetic_proxy,,21.37,computed,16.9,78.25,synthetic,50.0,unofficial_archive_proxy,68.86,derived_proxy,48.03,Medium,Treatment gap (synthetic — BC Hydro records would replace),Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,46.81,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.03,45.1,41.34,38.49,9.54
SR-TX-2352,SR-TX-2352-S001,Surrey,3.296,49.077083,-123.043531,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,53.48,synthetic_proxy,,21.37,computed,16.9,71.1,synthetic,50.0,unofficial_archive_proxy,65.02,derived_proxy,47.14,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.17,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.14,44.48,40.88,38.24,8.9
SR-TX-3070,SR-TX-3070-S001,Surrey,0.021,49.090818,-123.042717,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,37.75,synthetic_proxy,,21.37,computed,16.9,84.72,synthetic,50.0,unofficial_archive_proxy,86.29,derived_proxy,48.17,Medium,Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Terrain / access proxy,Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,50.4,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.17,44.99,41.08,38.04,10.13
SR-TX-3334,SR-TX-3334-S001,Surrey,0.022,49.090828,-123.042717,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,39.34,synthetic_proxy,,21.37,computed,16.9,83.42,synthetic,50.0,unofficial_archive_proxy,84.13,derived_proxy,48.08,Medium,Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Terrain / access proxy,Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,49.88,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.08,44.95,41.07,38.07,10.01
SR-TX-2679,SR-TX-2679-S001,Surrey,0.141,49.090851,-123.043909,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,67.54,synthetic_proxy,,21.37,computed,16.9,49.14,synthetic,50.0,unofficial_archive_proxy,46.03,derived_proxy,44.76,Medium,Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,39.02,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,44.76,42.92,39.81,37.84,6.92
SR-TX-2836,SR-TX-2836-S001,Surrey,0.065,49.092015,-123.040631,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,50.64,synthetic_proxy,,21.37,computed,16.9,78.25,synthetic,50.0,unofficial_archive_proxy,68.86,derived_proxy,48.03,Medium,Treatment gap (synthetic — BC Hydro records would replace),Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,46.81,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.03,45.1,41.34,38.49,9.54
SR-TX-2835,SR-TX-2835-S001,Surrey,0.065,49.09227,-123.040629,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,56.48,synthetic_proxy,,21.37,computed,16.9,63.37,synthetic,50.0,unofficial_archive_proxy,60.97,derived_proxy,46.18,Medium,Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.4,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,46.18,43.8,40.38,37.97,8.21
SR-TX-3036,SR-TX-3036-S001,Surrey,0.119,49.092453,-123.043427,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,53.48,synthetic_proxy,,21.37,computed,16.9,71.1,synthetic,50.0,unofficial_archive_proxy,65.02,derived_proxy,47.14,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.17,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.14,44.48,40.88,38.24,8.9
SR-TX-2977,SR-TX-2977-S001,Surrey,0.144,49.092577,-123.043304,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,62.11,synthetic_proxy,,21.37,computed,16.9,70.99,synthetic,50.0,unofficial_archive_proxy,53.36,derived_proxy,47.69,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.4,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.69,45.03,41.43,38.8,8.89
SR-TX-2073,SR-TX-2073-S001,Surrey,0.373,49.092731,-123.04453,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,53.48,synthetic_proxy,,21.37,computed,16.9,71.1,synthetic,50.0,unofficial_archive_proxy,65.02,derived_proxy,47.14,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.17,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.14,44.48,40.88,38.24,8.9
SR-TX-3096,SR-TX-3096-S001,Surrey,0.765,49.092509,-123.035872,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,56.48,synthetic_proxy,,21.37,computed,16.9,63.37,synthetic,50.0,unofficial_archive_proxy,60.97,derived_proxy,46.18,Medium,Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.4,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,46.18,43.8,40.38,37.97,8.21
SR-TX-2775,SR-TX-2775-S001,Surrey,0.112,49.092917,-123.044866,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,50.44,synthetic_proxy,,21.37,computed,16.9,71.62,synthetic,50.0,unofficial_archive_proxy,69.13,derived_proxy,47.03,Medium,Treatment gap (synthetic — BC Hydro records would replace),Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.86,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.03,44.34,40.73,38.08,8.95
SR-TX-3095,SR-TX-3095-S001,Surrey,0.769,49.092745,-123.035876,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,47.48,synthetic_proxy,,21.37,computed,16.9,50.44,synthetic,50.0,unofficial_archive_proxy,73.13,derived_proxy,43.66,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.28,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,43.66,41.77,38.63,36.62,7.04
SR-TX-2204,SR-TX-2204-S001,Surrey,1.542,49.100198,-123.044139,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,43.07,synthetic_proxy,,21.37,computed,16.9,62.03,synthetic,50.0,unofficial_archive_proxy,79.09,derived_proxy,45.11,Medium,Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Wildfire exposure (CWFIS / placeholder),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.92,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,45.11,42.78,39.39,37.02,8.09
SR-TX-1791,SR-TX-1791-S001,Surrey,4.85,49.098773,-123.028719,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,56.48,synthetic_proxy,,21.37,computed,16.9,63.37,synthetic,50.0,unofficial_archive_proxy,60.97,derived_proxy,46.18,Medium,Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Treatment gap (synthetic — BC Hydro records would replace),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.4,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,46.18,43.8,40.38,37.97,8.21
SR-TX-1791,SR-TX-1791-S002,Surrey,2.14,49.127485,-123.023941,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,50.64,synthetic_proxy,,21.37,computed,16.9,78.25,synthetic,50.0,unofficial_archive_proxy,68.86,derived_proxy,48.03,Medium,Treatment gap (synthetic — BC Hydro records would replace),Wildfire exposure (CWFIS / placeholder),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,46.81,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.03,45.1,41.34,38.49,9.54
SR-TX-2208,SR-TX-2208-S001,Surrey,0.003,49.056852,-123.030503,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,53.48,synthetic_proxy,,21.37,computed,16.9,71.1,synthetic,50.0,unofficial_archive_proxy,65.02,derived_proxy,47.14,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.17,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.14,44.48,40.88,38.24,8.9
SR-TX-2533,SR-TX-2533-S001,Surrey,0.146,49.057521,-123.030524,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,39.34,synthetic_proxy,,21.37,computed,16.9,83.42,synthetic,50.0,unofficial_archive_proxy,84.13,derived_proxy,48.08,Medium,Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Terrain / access proxy,Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,49.88,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.08,44.95,41.07,38.07,10.01
SR-TX-3388,SR-TX-3388-S001,Surrey,0.146,49.057521,-123.030525,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,64.6,synthetic_proxy,,21.37,computed,16.9,72.28,synthetic,50.0,unofficial_archive_proxy,50.0,derived_proxy,48.04,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,43.09,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,48.04,45.33,41.7,39.04,9.0
SR-TX-3171,SR-TX-3171-S001,Surrey,4.652,49.092053,-123.008647,32.93,30.66,31.46,0.81,0.2447,0.0392,0.1156,0.0266,41.16,45.1,38.53,35.82,40.03,computed,53.48,synthetic_proxy,,21.37,computed,16.9,71.1,synthetic,50.0,unofficial_archive_proxy,65.02,derived_proxy,47.14,Medium,Wildfire exposure (CWFIS / placeholder),Treatment gap (synthetic — BC Hydro records would replace),Vegetation cover / moisture (WorldCover + Sentinel-2),Surrey open/free summary + synthetic wildfire/treatment proxies,2026-06-23,45.17,16.9,available,complete,,General vegetation-weather review,Monitor / routine review,Composite vegetation and weather proxies suggest routine monitoring.,Moderate composite vegetation-weather signals — routine review recommended.,47.14,44.48,40.88,38.24,8.9
